,Accuracy,Precision,Recall,F1-score,AUC,MCC
classic_c4,0.6908622088306872,0.6630953210725985,0.7733596562536291,0.7139954647553595,0.7478054172186404,0.38730161216714015
classic_c5,0.7497334569475026,0.7070640794310912,0.8509813029845547,0.7723758478394915,0.821393172865123,0.5103053380357369
distilbert_c3,0.9407115540618843,0.9370147672034465,0.9446754151666473,0.9408294973514376,0.9836111699090658,0.8814539454294517
distilbert_c4,0.9339494727083092,0.9307152163636154,0.9374056439437928,0.934048449713317,0.9803811827202229,0.8679226782983194
distilbert_c5,0.9330165720245683,0.925990263079701,0.9409592381837185,0.9334147409165264,0.9801058536435406,0.8661497688914664
lora_t33_c3,0.7586742380345347,0.7121683527390723,0.866577633259784,0.7818219917229817,0.8413554251377299,0.5301095219198262
lora_c4,0.7461583033955267,0.6934247828074989,0.8805713622111253,0.775872301238105,0.8326573366903165,0.511477335227123
lora_t33_c5,0.6995654189361455,0.644696720134472,0.8863662756938799,0.746458417889574,0.7904371820251856,0.4308250519137033
esm2-t33-fz,0.7450631591146135,0.7197482806482921,0.8009174311926606,0.7581665576509776,0.8188773538575435,0.49337659532714806
protbert,0.9338857341522772,0.9294386828247522,0.9387643711531761,0.9340782510226249,0.9796655958447752,0.8678171558914962
protbert-fz,0.868223432610963,0.834819824579943,0.9174195796074788,0.8741728449706763,0.9423968262427118,0.7401150402808219
tape,0.9406188434349287,0.9329429758480573,0.9492161189176634,0.9410091986046673,0.982932242851489,0.881375004790924
