"train/global_step","esm2_t33_c3 - _step","esm2_t33_c3 - _step__MIN","esm2_t33_c3 - _step__MAX","esm2_t33_c3 - eval/loss","esm2_t33_c3 - eval/loss__MIN","esm2_t33_c3 - eval/loss__MAX","esm2_t33_c4 - _step","esm2_t33_c4 - _step__MIN","esm2_t33_c4 - _step__MAX","esm2_t33_c4 - eval/loss","esm2_t33_c4 - eval/loss__MIN","esm2_t33_c4 - eval/loss__MAX","esm2_t33_c5 - _step","esm2_t33_c5 - _step__MIN","esm2_t33_c5 - _step__MAX","esm2_t33_c5 - eval/loss","esm2_t33_c5 - eval/loss__MIN","esm2_t33_c5 - eval/loss__MAX"
"3000","1","1","1","0.6938287615776062","0.6938287615776062","0.6938287615776062","1","1","1","0.6596156358718872","0.6596156358718872","0.6596156358718872","1","1","1","0.6772701144218445","0.6772701144218445","0.6772701144218445"
"6000","3","3","3","0.6933587789535522","0.6933587789535522","0.6933587789535522","3","3","3","0.6336837410926819","0.6336837410926819","0.6336837410926819","3","3","3","0.649768590927124","0.649768590927124","0.649768590927124"
"9000","5","5","5","0.6981255412101746","0.6981255412101746","0.6981255412101746","5","5","5","0.6734791398048401","0.6734791398048401","0.6734791398048401","5","5","5","0.6792581677436829","0.6792581677436829","0.6792581677436829"
"12000","","","","","","","7","7","7","0.6138700842857361","0.6138700842857361","0.6138700842857361","7","7","7","0.6194053888320923","0.6194053888320923","0.6194053888320923"
"15000","","","","","","","9","9","9","0.6059505343437195","0.6059505343437195","0.6059505343437195","9","9","9","0.6079063415527344","0.6079063415527344","0.6079063415527344"
"18000","","","","","","","11","11","11","0.6062285900115967","0.6062285900115967","0.6062285900115967","11","11","11","0.6116559505462646","0.6116559505462646","0.6116559505462646"
"21000","","","","","","","13","13","13","0.6092079877853394","0.6092079877853394","0.6092079877853394","13","13","13","0.5955886840820312","0.5955886840820312","0.5955886840820312"
"24000","","","","","","","15","15","15","0.6179525852203369","0.6179525852203369","0.6179525852203369","15","15","15","0.5993900895118713","0.5993900895118713","0.5993900895118713"
"27000","","","","","","","17","17","17","0.5980445742607117","0.5980445742607117","0.5980445742607117","17","17","17","0.5794985294342041","0.5794985294342041","0.5794985294342041"
"30000","","","","","","","19","19","19","0.6447151303291321","0.6447151303291321","0.6447151303291321","19","19","19","0.5676049590110779","0.5676049590110779","0.5676049590110779"
