"train/global_step","esm_t6_c1 - _step","esm_t6_c1 - _step__MIN","esm_t6_c1 - _step__MAX","esm_t6_c1 - eval/loss","esm_t6_c1 - eval/loss__MIN","esm_t6_c1 - eval/loss__MAX","esm_t6_c2 - _step","esm_t6_c2 - _step__MIN","esm_t6_c2 - _step__MAX","esm_t6_c2 - eval/loss","esm_t6_c2 - eval/loss__MIN","esm_t6_c2 - eval/loss__MAX","esm_t6_c3 - _step","esm_t6_c3 - _step__MIN","esm_t6_c3 - _step__MAX","esm_t6_c3 - eval/loss","esm_t6_c3 - eval/loss__MIN","esm_t6_c3 - eval/loss__MAX"
"3000","1","1","1","0.3178148567676544","0.3178148567676544","0.3178148567676544","1","1","1","0.4760589003562927","0.4760589003562927","0.4760589003562927","1","1","1","0.6322169899940491","0.6322169899940491","0.6322169899940491"
"6000","3","3","3","0.24879105389118195","0.24879105389118195","0.24879105389118195","3","3","3","0.7168256044387817","0.7168256044387817","0.7168256044387817","3","3","3","0.49524879455566406","0.49524879455566406","0.49524879455566406"
"9000","5","5","5","0.2366158813238144","0.2366158813238144","0.2366158813238144","5","5","5","0.709134042263031","0.709134042263031","0.709134042263031","5","5","5","0.4786987602710724","0.4786987602710724","0.4786987602710724"
"12000","7","7","7","0.6960033774375916","0.6960033774375916","0.6960033774375916","7","7","7","0.6931471228599548","0.6931471228599548","0.6931471228599548","7","7","7","0.44179609417915344","0.44179609417915344","0.44179609417915344"
"15000","9","9","9","0.693167507648468","0.693167507648468","0.693167507648468","","","","","","","9","9","9","0.3933204710483551","0.3933204710483551","0.3933204710483551"
"18000","11","11","11","0.6931601762771606","0.6931601762771606","0.6931601762771606","","","","","","","11","11","11","0.35533416271209717","0.35533416271209717","0.35533416271209717"
"21000","","","","","","","","","","","","","13","13","13","0.3557470440864563","0.3557470440864563","0.3557470440864563"
"24000","","","","","","","","","","","","","15","15","15","0.316363126039505","0.316363126039505","0.316363126039505"
"27000","","","","","","","","","","","","","17","17","17","0.2965451776981354","0.2965451776981354","0.2965451776981354"
"30000","","","","","","","","","","","","","19","19","19","0.278246134519577","0.278246134519577","0.278246134519577"
"33000","","","","","","","","","","","","","21","21","21","0.2623443305492401","0.2623443305492401","0.2623443305492401"
"36000","","","","","","","","","","","","","23","23","23","0.2616671323776245","0.2616671323776245","0.2616671323776245"
"39000","","","","","","","","","","","","","25","25","25","0.2529205083847046","0.2529205083847046","0.2529205083847046"
"42000","","","","","","","","","","","","","27","27","27","0.2549760639667511","0.2549760639667511","0.2549760639667511"
"45000","","","","","","","","","","","","","29","29","29","0.2375134527683258","0.2375134527683258","0.2375134527683258"
"48000","","","","","","","","","","","","","31","31","31","0.247762992978096","0.247762992978096","0.247762992978096"
"51000","","","","","","","","","","","","","33","33","33","0.24365614354610443","0.24365614354610443","0.24365614354610443"
"54000","","","","","","","","","","","","","35","35","35","0.2310086041688919","0.2310086041688919","0.2310086041688919"
"57000","","","","","","","","","","","","","37","37","37","0.22386276721954346","0.22386276721954346","0.22386276721954346"
"60000","","","","","","","","","","","","","39","39","39","0.22230735421180725","0.22230735421180725","0.22230735421180725"
"63000","","","","","","","","","","","","","41","41","41","0.21756482124328613","0.21756482124328613","0.21756482124328613"
"66000","","","","","","","","","","","","","43","43","43","0.2278384268283844","0.2278384268283844","0.2278384268283844"
"69000","","","","","","","","","","","","","45","45","45","0.24106308817863464","0.24106308817863464","0.24106308817863464"
"72000","","","","","","","","","","","","","47","47","47","0.22488227486610413","0.22488227486610413","0.22488227486610413"
"75000","","","","","","","","","","","","","49","49","49","0.2108086794614792","0.2108086794614792","0.2108086794614792"
"78000","","","","","","","","","","","","","51","51","51","0.21714399755001068","0.21714399755001068","0.21714399755001068"
"81000","","","","","","","","","","","","","53","53","53","0.22050246596336365","0.22050246596336365","0.22050246596336365"
"84000","","","","","","","","","","","","","55","55","55","0.21310709416866302","0.21310709416866302","0.21310709416866302"
"87000","","","","","","","","","","","","","57","57","57","0.21298371255397797","0.21298371255397797","0.21298371255397797"
"90000","","","","","","","","","","","","","59","59","59","0.20541253685951233","0.20541253685951233","0.20541253685951233"
"93000","","","","","","","","","","","","","61","61","61","0.20459213852882385","0.20459213852882385","0.20459213852882385"
"96000","","","","","","","","","","","","","63","63","63","0.21081410348415375","0.21081410348415375","0.21081410348415375"
"99000","","","","","","","","","","","","","65","65","65","0.20195379853248596","0.20195379853248596","0.20195379853248596"
"102000","","","","","","","","","","","","","67","67","67","0.20425793528556824","0.20425793528556824","0.20425793528556824"
"105000","","","","","","","","","","","","","69","69","69","0.2091492861509323","0.2091492861509323","0.2091492861509323"
"108000","","","","","","","","","","","","","71","71","71","0.20393110811710358","0.20393110811710358","0.20393110811710358"
"111000","","","","","","","","","","","","","73","73","73","0.20488139986991882","0.20488139986991882","0.20488139986991882"
